"Time","relative_humidity.mean {site_location: fhz}"
2018-07-27 07:08:00,41.6
2018-07-27 07:10:00,41.0
2018-07-27 07:12:00,40.8
2018-07-27 07:14:00,40.8
2018-07-27 07:16:00,40.5
2018-07-27 07:18:00,40.7
2018-07-27 07:20:00,41
2018-07-27 07:22:00,40.9
2018-07-27 07:24:00,40.7
2018-07-27 07:26:00,40.2
2018-07-27 07:28:00,39.6
2018-07-27 07:30:00,39.7
2018-07-27 07:32:00,39.6
2018-07-27 07:34:00,39.2
2018-07-27 07:36:00,39.1
2018-07-27 07:38:00,38.7
2018-07-27 07:40:00,38.7
2018-07-27 07:42:00,38.3
2018-07-27 07:44:00,38.6
2018-07-27 07:46:00,38.8
2018-07-27 07:48:00,39.1
2018-07-27 07:50:00,39.0
2018-07-27 07:52:00,38.6
2018-07-27 07:54:00,38.2
2018-07-27 07:56:00,37.8
2018-07-27 07:58:00,37.8
2018-07-27 08:00:00,37.5
2018-07-27 08:02:00,37.7
2018-07-27 08:04:00,37.3
2018-07-27 08:06:00,36.9
2018-07-27 08:08:00,37
2018-07-27 08:10:00,37.4
2018-07-27 08:12:00,37
2018-07-27 08:14:00,36.6
2018-07-27 08:16:00,36.3
2018-07-27 08:18:00,35.6
2018-07-27 08:20:00,35.6
2018-07-27 08:22:00,35.6
2018-07-27 08:24:00,35.2
2018-07-27 08:26:00,35.1
2018-07-27 08:28:00,34.9
2018-07-27 08:30:00,34.5
2018-07-27 08:32:00,34.7
2018-07-27 08:34:00,34.6
2018-07-27 08:36:00,34.5
2018-07-27 08:38:00,34.3
2018-07-27 08:40:00,33.8
2018-07-27 08:42:00,33.6
2018-07-27 08:44:00,33.6
2018-07-27 08:46:00,33.3
2018-07-27 08:48:00,33.1
2018-07-27 08:50:00,32.8
2018-07-27 08:52:00,33.0
2018-07-27 08:54:00,32.7
2018-07-27 08:56:00,32.4
2018-07-27 08:58:00,32.3
2018-07-27 09:00:00,32.3
2018-07-27 09:02:00,31.9
2018-07-27 09:04:00,31.7
2018-07-27 09:06:00,31.5
2018-07-27 09:08:00,31.8
2018-07-27 09:10:00,31.7
2018-07-27 09:12:00,31.7
2018-07-27 09:14:00,31.9
2018-07-27 09:16:00,31.7
2018-07-27 09:18:00,31.3
2018-07-27 09:20:00,31.3
2018-07-27 09:22:00,31.6
2018-07-27 09:24:00,31.0
2018-07-27 09:26:00,31.3
2018-07-27 09:28:00,31.7
2018-07-27 09:30:00,32
2018-07-27 09:32:00,31.8
2018-07-27 09:34:00,31.5
2018-07-27 09:36:00,31.9
2018-07-27 09:38:00,31.7
2018-07-27 09:40:00,31.5
