"Time","radiation.mean {site_location: fhz}"
2018-07-27 09:32:00,702
2018-07-27 09:34:00,703
2018-07-27 09:36:00,707
2018-07-27 09:38:00,710
2018-07-27 09:40:00,709
2018-07-27 09:42:00,716
2018-07-27 09:44:00,720
2018-07-27 09:46:00,721
2018-07-27 09:48:00,723
2018-07-27 09:50:00,722
2018-07-27 09:52:00,725
2018-07-27 09:54:00,729
2018-07-27 09:56:00,733
2018-07-27 09:58:00,740
2018-07-27 10:00:00,740
2018-07-27 10:02:00,744
2018-07-27 10:04:00,746
2018-07-27 10:06:00,741
2018-07-27 10:08:00,737
2018-07-27 10:10:00,737
2018-07-27 10:12:00,745
2018-07-27 10:14:00,752
2018-07-27 10:16:00,754
2018-07-27 10:18:00,754
2018-07-27 10:20:00,758
2018-07-27 10:22:00,759
2018-07-27 10:24:00,756
2018-07-27 10:26:00,757
2018-07-27 10:28:00,763
2018-07-27 10:30:00,765
2018-07-27 10:32:00,765
2018-07-27 10:34:00,769
2018-07-27 10:36:00,763
2018-07-27 10:38:00,772
2018-07-27 10:40:00,773
2018-07-27 10:42:00,773
2018-07-27 10:44:00,771
2018-07-27 10:46:00,771
2018-07-27 10:48:00,776
2018-07-27 10:50:00,780
2018-07-27 10:52:00,785
2018-07-27 10:54:00,779
2018-07-27 10:56:00,784
2018-07-27 10:58:00,785
2018-07-27 11:00:00,786
2018-07-27 11:02:00,796
2018-07-27 11:04:00,791
2018-07-27 11:06:00,789
2018-07-27 11:08:00,792
2018-07-27 11:10:00,793
2018-07-27 11:12:00,794
2018-07-27 11:14:00,797
2018-07-27 11:16:00,798
2018-07-27 11:18:00,801
2018-07-27 11:20:00,803
2018-07-27 11:22:00,805
2018-07-27 11:24:00,804
2018-07-27 11:26:00,803
2018-07-27 11:28:00,803
2018-07-27 11:30:00,804
2018-07-27 11:32:00,801
2018-07-27 11:34:00,800
2018-07-27 11:36:00,801
2018-07-27 11:38:00,795
2018-07-27 11:40:00,796
2018-07-27 11:42:00,794
2018-07-27 11:44:00,799
2018-07-27 11:46:00,807
2018-07-27 11:48:00,808
2018-07-27 11:50:00,812
2018-07-27 11:52:00,815
2018-07-27 11:54:00,814
2018-07-27 11:56:00,813
2018-07-27 11:58:00,808
2018-07-27 12:00:00,806
2018-07-27 12:02:00,811
2018-07-27 12:04:00,803
2018-07-27 12:06:00,806
2018-07-27 12:08:00,805
2018-07-27 12:10:00,817
2018-07-27 12:12:00,816
2018-07-27 12:14:00,808
2018-07-27 12:16:00,810
2018-07-27 12:18:00,813
2018-07-27 12:20:00,819
2018-07-27 12:22:00,816
2018-07-27 12:24:00,803
2018-07-27 12:26:00,803
2018-07-27 12:28:00,800
2018-07-27 12:30:00,796
2018-07-27 12:32:00,797
2018-07-27 12:34:00,799
2018-07-27 12:36:00,792
2018-07-27 12:38:00,795
2018-07-27 12:40:00,791
2018-07-27 12:42:00,791
2018-07-27 12:44:00,786
2018-07-27 12:46:00,780
2018-07-27 12:48:00,777
2018-07-27 12:50:00,765
2018-07-27 12:52:00,758
2018-07-27 12:54:00,754
2018-07-27 12:56:00,765
2018-07-27 12:58:00,782
2018-07-27 13:00:00,779
2018-07-27 13:02:00,776
2018-07-27 13:04:00,778
2018-07-27 13:06:00,770
2018-07-27 13:08:00,763
2018-07-27 13:10:00,760
2018-07-27 13:12:00,763
2018-07-27 13:14:00,761
2018-07-27 13:16:00,757
2018-07-27 13:18:00,759
2018-07-27 13:20:00,754
2018-07-27 13:22:00,743
2018-07-27 13:24:00,742
2018-07-27 13:26:00,745
2018-07-27 13:28:00,747
2018-07-27 13:30:00,742
2018-07-27 13:32:00,740
2018-07-27 13:34:00,739
2018-07-27 13:36:00,736
2018-07-27 13:38:00,735
2018-07-27 13:40:00,731
2018-07-27 13:42:00,731
2018-07-27 13:44:00,728
2018-07-27 13:46:00,722
2018-07-27 13:48:00,719
2018-07-27 13:50:00,717
2018-07-27 13:52:00,715
2018-07-27 13:54:00,717
2018-07-27 13:56:00,710
2018-07-27 13:58:00,708
2018-07-27 14:00:00,700
2018-07-27 14:02:00,700
2018-07-27 14:04:00,702
2018-07-27 14:06:00,700
2018-07-27 14:08:00,696
2018-07-27 14:10:00,696
2018-07-27 14:12:00,691
2018-07-27 14:14:00,686
2018-07-27 14:16:00,687
2018-07-27 14:18:00,686
2018-07-27 14:20:00,680
2018-07-27 14:22:00,678
2018-07-27 14:24:00,667
2018-07-27 14:26:00,660
2018-07-27 14:28:00,654
